Date,Open,High,Low,Close,Adj Close,Volume
2023-03-02,672000.000000,684000.000000,671000.000000,678000.000000,673162.062500,174629
2023-03-03,687000.000000,707000.000000,684000.000000,703000.000000,697983.687500,236335
2023-03-06,722000.000000,727000.000000,711000.000000,726000.000000,720819.562500,274209
2023-03-07,733000.000000,757000.000000,730000.000000,740000.000000,734719.687500,372754
2023-03-08,727000.000000,727000.000000,711000.000000,715000.000000,709898.062500,229545
2023-03-09,720000.000000,725000.000000,700000.000000,710000.000000,704933.750000,222278
2023-03-10,694000.000000,710000.000000,690000.000000,707000.000000,701955.125000,195645
2023-03-13,714000.000000,727000.000000,699000.000000,718000.000000,712876.687500,291597
2023-03-14,708000.000000,718000.000000,695000.000000,705000.000000,699969.437500,189009
2023-03-15,719000.000000,727000.000000,711000.000000,721000.000000,715855.250000,153827
2023-03-16,716000.000000,731000.000000,707000.000000,730000.000000,724791.062500,224294
2023-03-17,743000.000000,745000.000000,696000.000000,702000.000000,696990.812500,495493
2023-03-20,694000.000000,703000.000000,681000.000000,683000.000000,678126.375000,242829
2023-03-21,690000.000000,693000.000000,673000.000000,677000.000000,672169.250000,220078
2023-03-22,687000.000000,703000.000000,687000.000000,703000.000000,697983.687500,206510
2023-03-23,697000.000000,717000.000000,695000.000000,712000.000000,706919.500000,202975
2023-03-24,711000.000000,714000.000000,683000.000000,690000.000000,685076.437500,243174
2023-03-27,702000.000000,712000.000000,691000.000000,698000.000000,693019.375000,175698
2023-03-28,701000.000000,704000.000000,687000.000000,704000.000000,698976.562500,238741
2023-03-29,704000.000000,708000.000000,695000.000000,705000.000000,699969.437500,146056
2023-03-30,708000.000000,709000.000000,692000.000000,696000.000000,691033.625000,181406
2023-03-31,699000.000000,720000.000000,692000.000000,712000.000000,706919.500000,234893
2023-04-03,728000.000000,730000.000000,708000.000000,712000.000000,706919.500000,210319
2023-04-04,717000.000000,754000.000000,716000.000000,722000.000000,716848.125000,357335
2023-04-05,722000.000000,739000.000000,716000.000000,732000.000000,726776.750000,173102
2023-04-06,728000.000000,730000.000000,712000.000000,716000.000000,710890.937500,214460
2023-04-07,720000.000000,720000.000000,706000.000000,714000.000000,708905.187500,176079
2023-04-10,721000.000000,766000.000000,718000.000000,750000.000000,744648.312500,435352
2023-04-11,768000.000000,857000.000000,765000.000000,806000.000000,800248.750000,1194745
2023-04-12,799000.000000,821000.000000,775000.000000,775000.000000,769469.937500,614112
2023-04-13,760000.000000,810000.000000,760000.000000,802000.000000,796277.250000,500579
2023-04-14,812000.000000,813000.000000,781000.000000,802000.000000,796277.250000,372206
2023-04-17,802000.000000,816000.000000,782000.000000,805000.000000,799255.875000,351391
2023-04-18,822000.000000,830000.000000,808000.000000,825000.000000,819113.125000,359378
2023-04-19,820000.000000,823000.000000,790000.000000,790000.000000,784362.875000,388626
2023-04-20,790000.000000,807000.000000,790000.000000,800000.000000,794291.562500,281434
2023-04-21,798000.000000,798000.000000,766000.000000,771000.000000,765498.500000,280781
2023-04-24,762000.000000,780000.000000,762000.000000,767000.000000,761527.000000,221374
2023-04-25,774000.000000,778000.000000,729000.000000,742000.000000,736705.437500,311844
2023-04-26,742000.000000,746000.000000,727000.000000,727000.000000,721812.437500,240656
2023-04-27,734000.000000,747000.000000,726000.000000,741000.000000,735712.562500,315286
2023-04-28,746000.000000,750000.000000,730000.000000,740000.000000,734719.687500,257164
2023-05-02,750000.000000,760000.000000,738000.000000,746000.000000,740676.875000,203437
2023-05-03,741000.000000,742000.000000,726000.000000,726000.000000,720819.562500,159157
2023-05-04,727000.000000,735000.000000,724000.000000,731000.000000,725783.875000,149664
2023-05-08,741000.000000,747000.000000,723000.000000,726000.000000,720819.562500,150083
2023-05-09,726000.000000,735000.000000,710000.000000,722000.000000,716848.125000,149656
2023-05-10,717000.000000,723000.000000,704000.000000,709000.000000,703940.875000,201484
2023-05-11,712000.000000,715000.000000,691000.000000,691000.000000,686069.312500,311828
2023-05-12,697000.000000,700000.000000,685000.000000,688000.000000,683090.750000,232162
2023-05-15,685000.000000,694000.000000,677000.000000,691000.000000,686069.312500,175241
2023-05-16,696000.000000,707000.000000,692000.000000,695000.000000,690040.750000,179012
2023-05-17,692000.000000,712000.000000,687000.000000,709000.000000,703940.875000,136372
2023-05-18,712000.000000,714000.000000,701000.000000,709000.000000,703940.875000,151282
2023-05-19,710000.000000,711000.000000,697000.000000,698000.000000,693019.375000,161829
2023-05-22,698000.000000,707000.000000,692000.000000,700000.000000,695005.125000,161714
2023-05-23,705000.000000,741000.000000,700000.000000,719000.000000,713869.500000,375157
2023-05-24,719000.000000,734000.000000,716000.000000,720000.000000,714862.375000,181354
2023-05-25,719000.000000,722000.000000,709000.000000,712000.000000,706919.500000,158080
2023-05-26,708000.000000,716000.000000,697000.000000,706000.000000,700962.312500,133917
2023-05-30,715000.000000,717000.000000,698000.000000,702000.000000,696990.812500,182533
2023-05-31,702000.000000,710000.000000,692000.000000,693000.000000,688055.062500,489828
2023-06-01,698000.000000,702000.000000,686000.000000,687000.000000,682097.875000,258102
2023-06-02,693000.000000,724000.000000,688000.000000,721000.000000,715855.250000,346407
2023-06-05,730000.000000,730000.000000,716000.000000,723000.000000,717841.000000,148006
2023-06-07,729000.000000,752000.000000,728000.000000,746000.000000,740676.875000,297767
2023-06-08,746000.000000,751000.000000,731000.000000,737000.000000,731741.062500,249933
2023-06-09,741000.000000,761000.000000,735000.000000,752000.000000,746634.062500,235688
2023-06-12,763000.000000,763000.000000,745000.000000,746000.000000,740676.875000,140486
2023-06-13,750000.000000,751000.000000,736000.000000,736000.000000,730748.250000,155147
2023-06-14,736000.000000,739000.000000,716000.000000,719000.000000,713869.500000,265425
2023-06-15,721000.000000,730000.000000,708000.000000,722000.000000,716848.125000,254423
