Date,Open,High,Low,Close,Adj Close,Volume
2023-03-02,207500.000000,209500.000000,205000.000000,206000.000000,204783.921875,817689
2023-03-03,207500.000000,210500.000000,205500.000000,205500.000000,204286.875000,729689
2023-03-06,208500.000000,214500.000000,208500.000000,214500.000000,213233.750000,1052243
2023-03-07,214000.000000,214500.000000,210500.000000,211000.000000,209754.406250,640146
2023-03-08,208500.000000,209000.000000,202000.000000,202500.000000,201304.578125,1027023
2023-03-09,204500.000000,206000.000000,202000.000000,202000.000000,200807.531250,760330
2023-03-10,198000.000000,201000.000000,197800.000000,199800.000000,198620.515625,854741
2023-03-13,199800.000000,203000.000000,194600.000000,202500.000000,201304.578125,1035513
2023-03-14,200000.000000,202000.000000,196000.000000,196000.000000,194842.953125,776395
2023-03-15,200000.000000,201000.000000,194500.000000,196400.000000,195240.593750,838555
2023-03-16,193600.000000,198400.000000,192100.000000,197100.000000,195936.453125,708127
2023-03-17,201000.000000,202000.000000,197200.000000,198000.000000,196831.140625,778496
2023-03-20,198000.000000,204000.000000,198000.000000,201500.000000,200310.484375,602589
2023-03-21,202500.000000,203500.000000,200000.000000,200500.000000,199316.390625,403322
2023-03-22,203500.000000,207500.000000,203000.000000,207000.000000,205778.015625,655503
2023-03-23,204000.000000,205000.000000,202000.000000,204000.000000,202795.734375,607503
2023-03-24,204500.000000,204500.000000,200500.000000,202500.000000,201304.578125,599102
2023-03-27,201500.000000,202000.000000,198200.000000,199300.000000,198123.468750,611569
2023-03-28,199600.000000,201000.000000,197800.000000,199500.000000,198322.281250,586388
2023-03-29,198000.000000,201000.000000,198000.000000,199100.000000,197924.656250,442034
2023-03-30,200500.000000,201000.000000,198100.000000,201000.000000,199813.437500,788108
2023-03-31,203500.000000,203500.000000,199100.000000,202000.000000,200807.531250,937726
2023-04-03,203500.000000,204500.000000,198100.000000,198200.000000,197029.968750,794745
2023-04-04,198200.000000,201000.000000,198100.000000,201000.000000,199813.437500,575220
2023-04-05,201000.000000,202500.000000,199100.000000,199200.000000,198024.062500,485125
2023-04-06,198200.000000,198300.000000,191900.000000,191900.000000,190767.156250,1409355
2023-04-07,193000.000000,195400.000000,192900.000000,193400.000000,192258.296875,531141
2023-04-10,193300.000000,193700.000000,190500.000000,193000.000000,191860.671875,783772
2023-04-11,193300.000000,200000.000000,193300.000000,199900.000000,198719.937500,1137837
2023-04-12,199300.000000,200500.000000,196900.000000,198000.000000,196831.140625,700638
2023-04-13,196200.000000,198800.000000,195600.000000,196400.000000,195240.593750,727674
2023-04-14,198700.000000,200500.000000,197000.000000,199000.000000,197825.234375,964852
2023-04-17,199000.000000,199300.000000,196300.000000,197000.000000,195837.062500,556371
2023-04-18,196100.000000,196900.000000,191500.000000,192800.000000,191661.843750,1022386
2023-04-19,192400.000000,192500.000000,191400.000000,191400.000000,190270.109375,612192
2023-04-20,191600.000000,192700.000000,189900.000000,191600.000000,190468.937500,581315
2023-04-21,191500.000000,192100.000000,190100.000000,190300.000000,189176.609375,479007
2023-04-24,189000.000000,191800.000000,188500.000000,190000.000000,188878.375000,469050
2023-04-25,190000.000000,191200.000000,186000.000000,186100.000000,185001.390625,778485
2023-04-26,185800.000000,190900.000000,185700.000000,188100.000000,186989.593750,671910
2023-04-27,188000.000000,189400.000000,186500.000000,188200.000000,187089.000000,470891
2023-04-28,190000.000000,193400.000000,190000.000000,192300.000000,191164.796875,902999
2023-05-02,192200.000000,193200.000000,191400.000000,193200.000000,192059.484375,491178
2023-05-03,191800.000000,193400.000000,191300.000000,192600.000000,191463.031250,448203
2023-05-04,191100.000000,197300.000000,189000.000000,196100.000000,194942.359375,900385
2023-05-08,200500.000000,207500.000000,198200.000000,207000.000000,205778.015625,2034862
2023-05-09,209000.000000,214500.000000,208500.000000,211000.000000,209754.406250,1855368
2023-05-10,211000.000000,212500.000000,206500.000000,210000.000000,208760.296875,763447
2023-05-11,213000.000000,216000.000000,210500.000000,211000.000000,209754.406250,825757
